Hour,crime_category_v2,count
0,OTHER,2903
0,PROPERTY_CRIME,16199
0,SEXUAL_CRIME,1875
0,VANDALISM,3458
0,VEHICLE_CRIME,3684
0,VIOLENT_CRIME,11115
1,OTHER,1826
1,PROPERTY_CRIME,10411
1,SEXUAL_CRIME,766
1,VANDALISM,2794
1,VEHICLE_CRIME,3154
1,VIOLENT_CRIME,9854
2,OTHER,1462
2,PROPERTY_CRIME,8765
2,SEXUAL_CRIME,707
2,VANDALISM,2526
2,VEHICLE_CRIME,2811
2,VIOLENT_CRIME,8129
3,OTHER,1221
3,PROPERTY_CRIME,9001
3,SEXUAL_CRIME,558
3,VANDALISM,2214
3,VEHICLE_CRIME,2419
3,VIOLENT_CRIME,6042
4,OTHER,1092
4,PROPERTY_CRIME,7928
4,SEXUAL_CRIME,418
4,VANDALISM,1824
4,VEHICLE_CRIME,2225
4,VIOLENT_CRIME,4687
5,OTHER,1051
5,PROPERTY_CRIME,7147
5,SEXUAL_CRIME,333
5,VANDALISM,1739
5,VEHICLE_CRIME,2377
5,VIOLENT_CRIME,4058
6,OTHER,1844
6,PROPERTY_CRIME,10484
6,SEXUAL_CRIME,493
6,VANDALISM,1997
6,VEHICLE_CRIME,2645
6,VIOLENT_CRIME,4657
7,OTHER,2452
7,PROPERTY_CRIME,10180
7,SEXUAL_CRIME,625
7,VANDALISM,2365
7,VEHICLE_CRIME,2856
7,VIOLENT_CRIME,6562
8,OTHER,3353
8,PROPERTY_CRIME,15633
8,SEXUAL_CRIME,1042
8,VANDALISM,3145
8,VEHICLE_CRIME,3423
8,VIOLENT_CRIME,9113
9,OTHER,3008
9,PROPERTY_CRIME,15195
9,SEXUAL_CRIME,908
9,VANDALISM,3016
9,VEHICLE_CRIME,3030
9,VIOLENT_CRIME,9817
10,OTHER,3088
10,PROPERTY_CRIME,18599
10,SEXUAL_CRIME,1047
10,VANDALISM,3312
10,VEHICLE_CRIME,3425
10,VIOLENT_CRIME,11828
11,OTHER,3022
11,PROPERTY_CRIME,18496
11,SEXUAL_CRIME,975
11,VANDALISM,3341
11,VEHICLE_CRIME,3177
11,VIOLENT_CRIME,12807
12,OTHER,5043
12,PROPERTY_CRIME,33517
12,SEXUAL_CRIME,2418
12,VANDALISM,4182
12,VEHICLE_CRIME,4952
12,VIOLENT_CRIME,14957
13,OTHER,3025
13,PROPERTY_CRIME,19497
13,SEXUAL_CRIME,1039
13,VANDALISM,3260
13,VEHICLE_CRIME,3500
13,VIOLENT_CRIME,13291
14,OTHER,3581
14,PROPERTY_CRIME,20932
14,SEXUAL_CRIME,1045
14,VANDALISM,3582
14,VEHICLE_CRIME,4188
14,VIOLENT_CRIME,13820
15,OTHER,3566
15,PROPERTY_CRIME,22049
15,SEXUAL_CRIME,1092
15,VANDALISM,3981
15,VEHICLE_CRIME,4913
15,VIOLENT_CRIME,14913
16,OTHER,3411
16,PROPERTY_CRIME,21790
16,SEXUAL_CRIME,1101
16,VANDALISM,4032
16,VEHICLE_CRIME,5665
16,VIOLENT_CRIME,14813
17,OTHER,3485
17,PROPERTY_CRIME,24372
17,SEXUAL_CRIME,1056
17,VANDALISM,4824
17,VEHICLE_CRIME,7307
17,VIOLENT_CRIME,15339
18,OTHER,3349
18,PROPERTY_CRIME,24580
18,SEXUAL_CRIME,1043
18,VANDALISM,4772
18,VEHICLE_CRIME,8460
18,VIOLENT_CRIME,15294
19,OTHER,3195
19,PROPERTY_CRIME,21370
19,SEXUAL_CRIME,933
19,VANDALISM,4604
19,VEHICLE_CRIME,7889
19,VIOLENT_CRIME,15303
20,OTHER,3272
20,PROPERTY_CRIME,20482
20,SEXUAL_CRIME,1089
20,VANDALISM,4891
20,VEHICLE_CRIME,8217
20,VIOLENT_CRIME,16078
21,OTHER,3081
21,PROPERTY_CRIME,16760
21,SEXUAL_CRIME,990
21,VANDALISM,4605
21,VEHICLE_CRIME,7605
21,VIOLENT_CRIME,15791
22,OTHER,2925
22,PROPERTY_CRIME,15557
22,SEXUAL_CRIME,965
22,VANDALISM,4684
22,VEHICLE_CRIME,7974
22,VIOLENT_CRIME,15042
23,OTHER,2658
23,PROPERTY_CRIME,12977
23,SEXUAL_CRIME,954
23,VANDALISM,4081
23,VEHICLE_CRIME,6255
23,VIOLENT_CRIME,13693
